date,item,city,price,source,collected_at
2026-04-21,tomato,vijaywada,36,simulated,2026-04-21 18:01:42.377805
2026-04-21,onion,vijaywada,23,simulated,2026-04-21 18:01:42.377816
2026-04-21,potato,vijaywada,28,simulated,2026-04-21 18:01:42.377821
2026-04-21,tomato,hyderabad,46,simulated,2026-04-21 18:01:42.377825
2026-04-21,onion,hyderabad,30,simulated,2026-04-21 18:01:42.377828
2026-04-21,potato,hyderabad,58,simulated,2026-04-21 18:01:42.377835
2026-04-21,tomato,bangalore,31,simulated,2026-04-21 18:01:42.377838
2026-04-21,onion,bangalore,21,simulated,2026-04-21 18:01:42.377841
2026-04-21,potato,bangalore,24,simulated,2026-04-21 18:01:42.377844
2026-04-21,tomato,vijaywada,25,simulated,2026-04-21 18:01:48.253828
2026-04-21,onion,vijaywada,33,simulated,2026-04-21 18:01:48.253839
2026-04-21,potato,vijaywada,48,simulated,2026-04-21 18:01:48.253844
2026-04-21,tomato,hyderabad,59,simulated,2026-04-21 18:01:48.253848
2026-04-21,onion,hyderabad,45,simulated,2026-04-21 18:01:48.253851
2026-04-21,potato,hyderabad,46,simulated,2026-04-21 18:01:48.253856
2026-04-21,tomato,bangalore,39,simulated,2026-04-21 18:01:48.253859
2026-04-21,onion,bangalore,35,simulated,2026-04-21 18:01:48.253863
2026-04-21,potato,bangalore,39,simulated,2026-04-21 18:01:48.253866
2026-04-21,tomato,vijaywada,34,simulated,2026-04-21 18:01:52.987694
2026-04-21,onion,vijaywada,20,simulated,2026-04-21 18:01:52.987714
2026-04-21,potato,vijaywada,22,simulated,2026-04-21 18:01:52.987725
2026-04-21,tomato,hyderabad,28,simulated,2026-04-21 18:01:52.987759
2026-04-21,onion,hyderabad,32,simulated,2026-04-21 18:01:52.987767
2026-04-21,potato,hyderabad,51,simulated,2026-04-21 18:01:52.987780
2026-04-21,tomato,bangalore,24,simulated,2026-04-21 18:01:52.987788
2026-04-21,onion,bangalore,21,simulated,2026-04-21 18:01:52.987796
2026-04-21,potato,bangalore,30,simulated,2026-04-21 18:01:52.987803
2026-04-21,tomato,vijaywada,29,simulated,2026-04-21 18:02:17.939395
2026-04-21,onion,vijaywada,37,simulated,2026-04-21 18:02:17.939417
2026-04-21,potato,vijaywada,20,simulated,2026-04-21 18:02:17.939425
2026-04-21,tomato,hyderabad,40,simulated,2026-04-21 18:02:17.939433
2026-04-21,onion,hyderabad,58,simulated,2026-04-21 18:02:17.939440
2026-04-21,potato,hyderabad,20,simulated,2026-04-21 18:02:17.939451
2026-04-21,tomato,bangalore,21,simulated,2026-04-21 18:02:17.939458
2026-04-21,onion,bangalore,24,simulated,2026-04-21 18:02:17.939464
2026-04-21,potato,bangalore,56,simulated,2026-04-21 18:02:17.939470
2026-04-22,tomato,vijayawada,40,simulated,2026-04-22 11:16:04.209651
2026-04-21,onion,vijayawada,39,simulated,2026-04-22 11:16:04.209668
2026-04-21,potato,vijayawada,46,simulated,2026-04-22 11:16:04.209678
2026-04-22,tomato,hyderabad,24,simulated,2026-04-22 11:16:04.209684
2026-04-17,onion,hyderabad,29,simulated,2026-04-22 11:16:04.209690
2026-04-18,potato,hyderabad,39,simulated,2026-04-22 11:16:04.209700
2026-04-17,tomato,bangalore,45,simulated,2026-04-22 11:16:04.209705
2026-04-18,onion,bangalore,21,simulated,2026-04-22 11:16:04.209709
2026-04-18,potato,bangalore,39,simulated,2026-04-22 11:16:04.209714
2026-04-19,tomato,vijayawada,21,simulated,2026-04-22 11:28:25.759967
2026-04-17,onion,vijayawada,25,simulated,2026-04-22 11:28:25.759975
2026-04-21,potato,vijayawada,45,simulated,2026-04-22 11:28:25.759981
2026-04-20,tomato,hyderabad,42,simulated,2026-04-22 11:28:25.759985
2026-04-17,onion,hyderabad,55,simulated,2026-04-22 11:28:25.759989
2026-04-19,potato,hyderabad,38,simulated,2026-04-22 11:28:25.759996
2026-04-17,tomato,bangalore,50,simulated,2026-04-22 11:28:25.760000
2026-04-21,onion,bangalore,29,simulated,2026-04-22 11:28:25.760003
2026-04-20,potato,bangalore,31,simulated,2026-04-22 11:28:25.760007
2026-04-21,tomato,vijayawada,28,simulated,2026-04-22 11:28:31.268277
2026-04-17,onion,vijayawada,58,simulated,2026-04-22 11:28:31.268285
2026-04-22,potato,vijayawada,35,simulated,2026-04-22 11:28:31.268290
2026-04-22,tomato,hyderabad,32,simulated,2026-04-22 11:28:31.268294
2026-04-18,onion,hyderabad,53,simulated,2026-04-22 11:28:31.268298
2026-04-20,potato,hyderabad,49,simulated,2026-04-22 11:28:31.268304
2026-04-17,tomato,bangalore,55,simulated,2026-04-22 11:28:31.268308
2026-04-22,onion,bangalore,26,simulated,2026-04-22 11:28:31.268312
2026-04-17,potato,bangalore,60,simulated,2026-04-22 11:28:31.268316
2026-04-17,tomato,vijayawada,35,simulated,2026-04-22 11:28:36.304943
2026-04-20,onion,vijayawada,31,simulated,2026-04-22 11:28:36.304952
2026-04-18,potato,vijayawada,50,simulated,2026-04-22 11:28:36.304957
2026-04-21,tomato,hyderabad,29,simulated,2026-04-22 11:28:36.304962
2026-04-18,onion,hyderabad,30,simulated,2026-04-22 11:28:36.304966
2026-04-18,potato,hyderabad,43,simulated,2026-04-22 11:28:36.304973
2026-04-17,tomato,bangalore,28,simulated,2026-04-22 11:28:36.304977
2026-04-17,onion,bangalore,40,simulated,2026-04-22 11:28:36.304981
2026-04-20,potato,bangalore,31,simulated,2026-04-22 11:28:36.304986
2026-04-21,tomato,vijayawada,56,simulated,2026-04-22 11:28:40.527531
2026-04-22,onion,vijayawada,25,simulated,2026-04-22 11:28:40.527540
2026-04-19,potato,vijayawada,30,simulated,2026-04-22 11:28:40.527545
2026-04-22,tomato,hyderabad,51,simulated,2026-04-22 11:28:40.527549
2026-04-19,onion,hyderabad,45,simulated,2026-04-22 11:28:40.527553
2026-04-21,potato,hyderabad,50,simulated,2026-04-22 11:28:40.527558
2026-04-22,tomato,bangalore,22,simulated,2026-04-22 11:28:40.527562
2026-04-21,onion,bangalore,54,simulated,2026-04-22 11:28:40.527566
2026-04-19,potato,bangalore,29,simulated,2026-04-22 11:28:40.527570
2026-04-18,tomato,vijayawada,37,simulated,2026-04-22 11:28:45.446289
2026-04-19,onion,vijayawada,26,simulated,2026-04-22 11:28:45.446298
2026-04-21,potato,vijayawada,53,simulated,2026-04-22 11:28:45.446304
2026-04-22,tomato,hyderabad,42,simulated,2026-04-22 11:28:45.446309
2026-04-22,onion,hyderabad,39,simulated,2026-04-22 11:28:45.446314
2026-04-20,potato,hyderabad,55,simulated,2026-04-22 11:28:45.446320
2026-04-21,tomato,bangalore,55,simulated,2026-04-22 11:28:45.446324
2026-04-17,onion,bangalore,56,simulated,2026-04-22 11:28:45.446328
2026-04-17,potato,bangalore,30,simulated,2026-04-22 11:28:45.446332
